Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,BTECH CSE-2B GP 1,UHV,SW,ET-201,OS,SJK,ET-201,,MATHS,ARM,ET-505,Lunch Break,,,DAA,NVG,ET-101,COA,KMK,ET-101,,,,,,,smb,seema bajaj
,BTECH CSE-2B GP 2,,,,,,,,,,,,,,,,,,,,,,,,,,snt,santa singh
,BTECH CSE 2C GP1,DAA,PNT,ET-202,UHV,SW,ET-102,,COA LAB,KP,ETCC-407,Lunch Break,,,MATHS IV,HPK,ET-103,OS,HSD,ET-202,,,,,,,snk,sanskar
,BTECH CSE 2C GP2,,,,,,,,,,,,,,,,,,,,,,,,,,srb,sarbjeetkaur
,BTECH CSE 3A GP1,AI LAB,SRB,ETCC-206,CD lab,ALM,ETCC-304,,MAD,SNK,ET-202,CC,SHG,ET-202,Lunch Break,,,CD,ALM,ET-203,"GROUP 1 ( MERN ) PRT - ETCC-304 (MOBILE DEVELOPMENT) - ISK ETCC-507 GROUP 1 (UX/UI) - GVA - ETCC-407 , live project- LANG LAB -SHK",,,,,,SHK,SHAIRY KALRA
,BTECH CSE 3A GP2,CD lab,ALM,ETCC-304,AI LAB,SRB,ETCC-206,,,,,,,,,,,,,,,,,,,,SJK,SIMRANJEET KAUR
,BTECH CSE 3B GP1,MAD,SNT,ET-401,PDD,SKG,ET-401,,CC LAB,PRB,ETCC-304,MAD LAB,SNT,ETCC-507,Lunch Break,,,CC,PRB,ET-202,,,,,,,SNL,SONALI
,BTECH CSE 3B GP2,,,,,,,,MAD LAB,SNT,ETCC-507,CC LAB,PRB,ETCC-304,,,,,,,,,,,,,PRK,PARIKA
,BTECH CSE 4,,,,,,,,,,,,,,,,,,,,,,,,,,SHG,SAHIL GUPTA
,MBA 1A,,,,,,,,,,,,,,,,,,,,,,,,,,RPK,ROOPA KAUR
,MBA 1B,,,,,,,,,,,,,,,,,,,,,,,,,,ARM,AARTI MALA
,MBA 1C,,,,,,,,,,,,,,,,,,,,,,,,,,HS,Dr. Harmeet Singh
,BHMCT 1,,,,,,,,,,,,,,,,,,,,,,,,,,APS,AMANPREET SINGH
,BHMCT 4,,,,,,,,,,,,,,,,,,,,,,,,,,NK,NAVNEET KAUR
,B.Pharma 1A,,HSK,,,,,,,,,,,,,JHN,,,JHN,,,,,,,,SW,Swapan channa
,B.Pharma 1B,,,,,,,,,,,,,,,,,,,,,,,,,,skg,SK GANDHI
TUESDAY,BCA-1A,MATHS,RPK,ET-403,CSA,SMB,ET-403,TEA BREAK,C++ LAB,AKG,MTCL-3,C++ LAB,AKG,MTCL-3,Lunch Break,,,C++,AKG,ET-301,,,,,,,,
,BCA-1B,C++ LAB,PRS,MTCL-3,C++ LAB,PRS,MTCL-3,,C++,PRS,ET-303,EVS,SONIA,ET-302,,,,,,,,,,,,,,
,BCA-1C,CSA,KMK,ET-401,C++,HMK,ET-401,,,,,MATHS,ARM,ET-401,,,,,,,,,,,,,,
,BCA-1D,MATHS,DMK,ET-303,C++,HJK,ET-303,,CSA LAB,APK,MTCL-2,CSA LAB,APK,MTCL-2,Lunch Break,,,CSA,SJK,ET-203,,,,,,,,
,BCA-1E,CSA,SJK,ET-203,MATHS,HPK,ET-203,,C++,PRB,ET-502,EVS,DIKSHA,ET-103,,,,,,,,,,,,,,
,BCA-1F,C++ Lab,SNL,MTCL-2,C++ Lab,SNL,MTCL-2,,MATHS LAB,GSC,ETCC-407,CSA,SMB,ET-301,,,,,,,,,,,,,,
,BCA-2A,DBMS LAB,CND,HMCL,DBMS LAB,CND,HMCL,,OS,NRN,ET-505,Lunch Break,,,SE LAB,PRS,ETCC-407,WD,PRT,ET-202,WD LAB,PRT,ETCC-304,,,,,
,BCA-2B,OS LAB,PRJ,PHCL,OS LAB,PRJ,PHCL,,DBMS,NVG,ET-403,OS,PRJ,ET-303,Lunch Break,,,WD,ANK,ET-201,BMPD,NVG,ET-201,,,,,
,BCA-2C,DBMS,AKG,ET-301,SE,GVA,ET-301,,WD,PNT,ET-203,OS,PRB,ET-203,Lunch Break,,,SE LAB,KMK,MTCL-3,SE LAB,KMK,MTCL-3,,,,,
,BCA-2D,SE,PRK,ET-402,WD,HSK,ET-402,,DBMS,PRT,ET-301,OS,NRN,ET-203,Lunch Break,,,BMPD,PRK,ET-303,OS LAB,NRN,PHCL,,,,,
,BCA-2E,WD,ISK,ET-302,OS,ANK,ET-302,,WD LAB,ISK,HMCL,WD LAB,ISK,HMCL,Lunch Break,,,SE LAB,PRJ,MTCL-2,SE LAB,PRJ,MTCL-2,,,,,
,BCA-3A,DM,JSL,ET-503,ANDROID,SNK,ET-503,,ML,CND,ET-501,Lunch Break,,,BMPD,SNT,ET-203,DM LAB,JSL,ETCC-507,DM LAB,JSL,ETCC-507,,,,,
,BCA-3B,ANDROID,SNK,ET-501,CIL,SHG,ET-501,,DM,PRK,ET-402,Lunch Break,,,DM LAB,PRK,ETCC-206,GROUP 2 (UX/UI) - GVA - ETCC-407,,,,,,,,,,
,BCA-3C,AND LAB,SNT,ETCC-507,AND LAB,SNT,ETCC-507,,DM,JHN,ET-503,Lunch Break,,,ML LAB,CND,ETCC-304,ML LAB,CND,ETCC-304,ML,ISK,ET-101,,,,,
,MCA-1,WT LAB,HMK,LANG LAB,AD JAVA,JSL,LANG LAB,,WT,HMK,ET-302,LINUX LAB,JHN,LANG LAB,Lunch Break,,,LINUX LAB,JHN,LANG LAB,DAA,ANK,LANG LAB,,,,,
,MCA-2,AWT,HSK,ET-502,MLDA,KP,ET-502,,AWT LAB,HSK,LANG LAB,Lunch Break,,,CC,SHG,LANG LAB,GROUP 2 (MERN) - SHK - ETCC-206,,,,,,,,,,
,Btech Section AI & ML,PPS,,ET-101,Chemistry,NK,ET-101,,English,Rimpy,ET-101,Mathematics II,HPK,ET-101,,,,,,,,,,,,,,
,Btech Section A,Physics,FZ,ET-504,Mathematics II,PK,ET-103,,BEE,TNT,ET-202,Lunch Break,,,Physics Lab G1 FZ,,,,,,,,,,,,,
,Btech Section B,EGD(SKC/Arif),,,,,,,Mathematics II,DMK,ET-103,BEE,TNT,ET-102,,,,,,,,,,,,,,
,Btech Section C,English,Tulika,ET-103,Mathematics II,PK,ET-103,,Workshop Group 1 & PPS Group 2,,,,,,Lunch Break,,,PPS,,ET-102,,,,,,,,
,BTECH CSE-2A GP1,COA,APK,ET-102,UHV,SW,ET-102,,MATHS IV,PK,ET-102,OS,SJK,ET-201,Lunch Break,,,EVS,HS,ET-101,,,,,,,,
,BTECH CSE-2A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE-2BGP1,UHV,SW,ET-201,COA,KMK,ET-201,,MATHS,ARM,ET-401,EVS,APS,ET-402,Lunch Break,,,DAA,NVG,ET-302,OS,SJK,ET-102,,,,,
,BTECH CSE-2BGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 2C GP1,DAA,PNT,ET-505,,,,,UHV,SW,ET-201,Lunch Break,,,OS,HSD,ET-102,EVS,NK,ET-103,COA,APK,ET-103,,,,,
,BTECH CSE 2C GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3A GP1,CC,SHG,ET-202,PDD,SKG,ET-202,,CC LAB,SHG,ETCC-304,MAD LAB,SNK,ETCC-507,CD,ALM,ET-101,GROUP 2 (UX/UI) - GVA - ETCC-407,,,,,,,,,,
,BTECH CSE 3A GP2,,,,,,,,MAD LAB,SNK,ETCC-507,CC LAB,SHG,ETCC-304,,,,,,,,,,,,,,
,BTECH CSE 3B GP1,AI LAB,SRB,ETCC-206,CD LAB,ALM,ETCC-304,,Lunch Break,,,CD,ALM,ET-202,AI,KP,ET-202,GROUP 2 (MERN) - SHK - ETCC-206,,,,,,,,,,
,BTECH CSE 3B GP2,CD LAB,ALM,ETCC-304,AI LAB,SRB,ETCC-206,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1C,,,,,,,,,,,,,,,,,,HSK,,,,,,,,,
,BHMCT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1A,,,,,,,,,,,,,,,HMK,,,HMK,,,,,,,,,
,B.Pharma 1B,,,,,JHN,,,,,,,,,,,,,,,,,,,,,,
WEDNESDAY,BCA-1A,MATHS,RPK,ET-301,C++,AKG,ET-301,TEA BREAK,CSA LAB,SMB,MTCL-2,CSA LAB,SMB,MTCL-2,,,,,,,,,,,,,,
,BCA-1B,CSA LAB,APK,MTCL-2,CSA LAB,APK,MTCL-2,,C++,PRS,ET-401,Lunch Break,,,MATHS,DMK,ET-101,,,,,,,,,,,
,BCA-1C,CSA,KMK,ET-503,C++,HMK,ET-503,,CSA LAB,KMK,MTCL-3,CSA LAB,KMK,MTCL-3,Lunch Break,,,,,,,,,,,,,
