Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,BTECH CSE-2BGP1,COA LAB,KMK,ETCC-407,DAA,NVG,ET-401,,COA,KMK,ET-303,Lunch Break,,,Maths,ARM,ET-302,OS,SJK,ET-102,,,,,,,,
,BTECH CSE-2BGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 2C GP1,DAA,PNT,ET-301,MATHS IV,HPK,ET-301,,OS LAB,HSD,ETCC-407,DAA LAB,PNT,ETCC-507,Lunch Break,,,COA,APK,ET-103,,,,,,,,
,BTECH CSE 2C GP2,,,,,,,,DAA LAB,PNT,ETCC-507,OS LAB,HSD,ETCC-407,,,,,,,,,,,,,,
,BTECH CSE 3A GP1,CC LAB,SHG,ETCC-304,MAD LAB,SNK,ETCC-507,,AI,SRB,ET-502,Lunch Break,,,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,CD,ALM,ET-203,,,,,,,,
,BTECH CSE 3A GP2,MAD LAB,SNK,ETCC-507,CC LAB,SHG,ETCC-304,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3B GP1,PDD,SKG,ET-102,CD,ALM,ET-303,,CC,PRB,ET-201,Lunch Break,,,,,,AI,KP,ET-202,MAD,SNT,ET-202,,,,,
,BTECH CSE 3B GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1A,,,,,,,,,,,,,,,,,,,,,JSL,,,,,,
,MBA 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 4,,,,,AKG,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1A,,,,,HSK,,,,,,,,,,HMK,,,HMK,,,,,,,,,
,B.Pharma 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIDAY,BCA-1A,CSA,SMB,ET-403,,,,TEA BREAK,EVS,SONIA,ET-502,Lunch Break,,,CSA LAB,SMB,MTCL-2,CSA LAB,SMB,MTCL-2,FRIDAY MEETING,,,,,,,
,BCA-1B,EVS,SONIA,ET-301,MATHS,DMK,ET-301,,CSA,APK,ET-201,Lunch Break,,,,,,,,,,,,,,,,
,BCA-1C,C++ LAB,HMK,MTCL-2,C++ LAB,HMK,MTCL-2,,MATHS,ARM,ET-402,,,,,,,,,,,,,,,,,
,BCA-1D,CSA,SJK,ET-501,C++,HJK,ET-501,,EVS,DIKSHA,ET-301,Lunch Break,,,,,,,,,,,,,,,,
,BCA-1E,C++ LAB,PRB,MTCL-3,C++ LAB,PRB,MTCL-3,,CSA LAB,SJK,MTCL-2,CSA LAB,SJK,MTCL-2,Lunch Break,,,C++,PRB,ET-201,,,,,,,,
,BCA-1F,MATHS,GSC,ET-402,CSA,SMB,ET-402,,CSA LAB,KMK,MTCL-3,CSA LAB,KMK,MTCL-3,Lunch Break,,,,,,,,,,,,,
,BCA-2A,SE,PRS,ET-502,DBMS,CND,ET-502,,,,,OS,NRN,ET-101,Lunch Break,,,WD LAB,PRT,ETCC-304,,,,,,,,
,BCA-2B,OS,PRJ,ET-302,DBMS,NVG,ET-302,,,,,Lunch Break,,,OS LAB,PRJ,PHCL,OS LAB,PRJ,PHCL,,,,,,,,
,BCA-2C,DBMS LAB,AKG,HMCL,DBMS LAB,AKG,HMCL,,SE,GVA,ET-302,Lunch Break,,,WD LAB,PNT,HMCL,WD LAB,PNT,HMCL,,,,,,,,
,BCA-2D,OSLAB,NRN,PHCL,OSLAB,NRN,PHCL,,DBMS LAB,PRT,HMCL,DBMS LAB,PRT,HMCL,SE LAB,PRK,MTCL-3,SE LAB,PRK,MTCL-3,,,,,,,,
,BCA-2E,OS,ANK,ET-401,WD,ISK,ET-401,,OS LAB,ANK,PHCL,OS LAB,ANK,PHCL,Lunch Break,,,DBMS,NRN,ET-203,,,,,,,,
,BCA-3A,AND LAB,SNT,ETCC-507,AND LAB,SNT,ETCC-507,,ML LAB,CND,ETCC-304,Lunch Break,,,ML LAB,CND,ETCC-304,ANDROID,SNK,ET-302,,,,,,,,
,BCA-3B,ML LAB,ISK,ETCC-304,ML LAB,ISK,ETCC-304,,ML,KP,ET-401,ANDROID,SNK,ET-103,GROUP 2 (UX/UI) - GVA - ETCC-407,,,,,,,,,,,,,
,BCA-3C,CIL,PNT,ET-303,DM,JHN,ET-303,,ANDROID,SNT,ET-102,ML,ISK,ET-102,Lunch Break,,,AND LAB,SNT,ETCC-507,,,,,,,,
,MCA-1,LINUX,JHN,ET-503,AD JAVA LAB,JSL,LANG LAB,,ISCL,PRK,LANG LAB,Lunch Break,,,WT LAB,HMK,LANG LAB,DAA,ANK,ET-301,,,,,,,,
,MCA-2,MLDA LAB,CND,LANG LAB,CC,SHG,ET-203,,AWT,HSK,ET-501,AWT LAB,HSK,LANG LAB,GROUP 2 (MERN) - SHK - ETCC-206,,,,,,,,,,,,,
,Btech Section AI & ML,Maths I,HPK,ET-102,PPS,,ET-101,,Chemistry,NK,ET-101,Lunch Break,,,Workshop Group-1,,,,,,,,,,,,,
,Btech Section A,Autocad,,,,,,,Mathematics II,PK,ET-103,Physics Lab G2,,,,,,,,,,,,,,,,
,Btech Section B,Mathematics II,DMK,ET-101,BEE,TNT,ET-102,,Autocad,,,,,,Lunch Break,,,Physics,FZ,ET-102,,,,,,,,
,Btech Section C,Chemistry LAB Group 1 & Workshop Group 2,,,,,,,Mathematics II,PK,ET-103,Lunch Break,,,Chemistry,NK,ET-102,PPS,,ET-103,,,,,,,,
,BTECH CSE-2A GP1,COA,APK,ET-203,COA LAB,KP,ETCC-407,,EVS,HS,ET-303,Lunch Break,,,,,,OS,SJK,ET-101,,,,,,,,
,BTECH CSE-2A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE-2B GP 1,COA LAB,kmk,ETCC-407,,,,,OS LAB,PRJ,ETCC-407,DAA LAB,NVG,ETCC-507,Lunch Break,,,COA,KMK,ET-202,,,,,,,,
,BTECH CSE-2B GP 2,,,,,,,,DAA LAB,NVG,ETCC-507,OS LAB,PRJ,ETCC-407,,,,,,,,,,,,,,
,BTECH CSE 2C GP1,OS,HSD,ET-202,MATHS IV,HPK,ET-202,,DAA,PNT,ET-202,Lunch Break,,,COA,APK,ET-101,,,,,,,,,,,
,BTECH CSE 2C GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3A GP1,PDD,SKG,ET-201,AI,SRB,ET-201,,MAD,SNK,ET-505,,,,GROUP 2 (UX/UI) - GVA - ETCC-407,,,,,,,,,,,,,
,BTECH CSE 3A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3B GP1,AI,KP,ET-103,CD,ALM,ET-103,,CC,PRB,ET-203,Lunch Break,,,GROUP 2 (MERN) - SHK - ETCC-206,,,,,,,,,,,,,
,BTECH CSE 3B GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBA 1B,,,,,,,,,,,,,,,,,,JSL,,,,,,,,,
,MBA 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 1,,,,,,,,,,,,AKG,,,,,,,,,,,,,,,
,BHMCT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1A,,,,,,,,,,,,,,,,,,JHN,,,,,,,,,
,B.Pharma 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATURDAY,BCA-1A,C++ LAB,AKG,MTCL-3,C++ LAB,AKG,MTCL-3,TEA BREAK,CSA,SMB,ET-501,,,,,,,DEPARTMENTAL MEETING,,,,,,,,,,
,BCA-1B,C++,PRS,ET-502,,,,,BMPD,GVA,ET-101,CSA,APK,ET-101,,,,,,,,,,,,,,
,BCA-1C,EVS,SONIA,ET-501,MATHS LAB,ARM,ETCC-407,,C++ LAB,HMK,MTCL-3,C++ LAB,HMK,MTCL-3,,,,,,,,,,,,,,
,BCA-1D,CSA LAB,APK,MTCL-2,CSA LAB,APK,MTCL-2,,EVS,DIKSHA,ET-103,BMPD,SMB,ET-103,,,,,,,,,,,,,,
,BCA-1E,CSA,SJK,ET-403,,,,,MATHS,HPK,ET-402,C++,PRB,ET-402,,,,,,,,,,,,,,
,BCA-1F,CSA,SMB,ET-203,MATHS,GSC,ET-203,,CSA,KMK,MTCL-2,CSA,KMK,MTCL-2,,,,,,,,,,,,,,
,BCA-2A,WD,PRT,ET-202,SE,PRS,ET-202,,OS LAB,NRN,PHCL,OS LAB,NRN,PHCL,DBMS,CND,ET-101,,,,,,,,,,,
,BCA-2B,DBMS LAB,NVG,HMCL,DBMS LAB,NVG,HMCL,,WD,ANK,ET-401,SE,GVA,ET-201,DBMS,NVG,ET-201,,,,,,,,,,,
,BCA-2C,OS LAB,SRB,PHCL,OS LAB,SRB,PHCL,,DBMS,AKG,ET-202,OS,PRB,ET-202,WD,PNT,ET-202,,,,,,,,,,,
,BCA-2D,OS,NRN,ET-401,WD,HSK,ET-401,,SE,PRK,ET-303,DBMS,PRT,ET-303,,,,,,,,,,,,,,
,BCA-2E,SE,PRJ,ET-302,WD,ISK,ET-302,,DBMS LAB,NSA,HMCL,DBMS LAB,NSA,HMCL,,,,,,,,,,,,,,
,BCA-3A,ML,CND,ET-201,DM,JSL,ET-201,,CIL,PRS,ET-301,ANDROID,SNK,ET-301,GROUP 1 ( MERN ) PRT - ETCC-304 GROUP 1 (MOBILE DEVELOPMENT) - ISK ETCC-507 GROUP 1 (UX/UI) - GVA - ETCC-407 LIVE PROJECT - SHK-LANG LAB,,,,,,,,,,,,,
,BCA-3B,DM,PRK,ET-303,CIL,SHG,ET-303,,BMPD,SNK,,,,,,,,,,,,,,,,,,
,BCA-3C,DM LAB,JHN,ETCC-206,DM LAB,JHN,ETCC-206,,BMPD,SNT,ET-302,CIL,PNT,ET-102,,,,,,,,,,,,,,
,MCA-1,WT,HMK,ET-402,ISCL,PRK,ET-402,,,,,LINUX LAB,JHN,LANG LAB,LINUX,JHN,ET-203,,,,,,,,,,,
,MCA-2,AWT LAB,HSK,LANG LAB,MLDA LAB,CND,LANG LAB,,CC LAB,SHG,LANG LAB,RP,KP,ET-302,GROUP 1 ( MERN ) PRT-ETCC-304 GROUP 1(MOBILE DEVELOPMENT) - ISK ETCC-507 GROUP 1 (UX/UI) - GVA - ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,,,,,,,,,,,
,BTECH CSE-2A GP1,DAA,ALM,ET-301,OS,SJK,ET-301,,UHV,SW,ET-102,,,,,,,,,,,,,,,,,
,BTECH CSE-2A GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE-2BGP1,Maths,ARM,ET-101,UHV,SW,ET-101,,OS LAB,PRJ,ETCC-407,DAA LAB,NVG,ETCC-507,COA LAB,KMK,ETCC-206,,,,,,,,,,,
,BTECH CSE-2BGP2,,,,,,,,DAA LAB,NVG,ETCC-507,OS LAB,PRJ,ETCC-407,,,,,,,,,,,,,,
,BTECH CSE 2C GP1,UHV,SW,ET-102,OS,HSD,ET-102,,EVS,NK,ET-201,,,,,,,,,,,,,,,,,
,BTECH CSE 2C GP2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTECH CSE 3A GP1,CC,SHG,ET-103,MAD,SNK,ET-103,,AI LAB,SRB,ETCC-206,CD lab,ALM,ETCC-304,GROUP 1 ( MERN ) PRT - ETCC-304 GROUP 1 (MOBILE DEVELOPMENT) - ISK ETCC-507 GROUP 1 (UX/UI) - GVA - ETCC-407 LIVE PROJECT - SHK-LANG LAB,,,,,,,,,,,,,
,BTECH CSE 3A GP2,,,,,,,,CD lab,ALM,ETCC-304,AI LAB,SRB,ETCC-206,,,,,,,,,,,,,,
,BTECH CSE 3B GP1,CC LAB,PRB,ETCC-304,MAD LAB,SNT,ETCC-507,,PDD,SKG,ET-203,MAD,SNT,ET-203,,,,,,,,,,,,,,
,BTECH CSE 3B GP2,MAD LAB,SNT,ETCC-507,CC LAB,PRB,ETCC-304,,,,,,,,,,,,,,,,,,,,,
,MBA 1A,,,,,,,,,,,,JSL,,,,,,,,,,,,,,,
,MBA 1B,,,,,,,,,,,,HSK,,,,,,,,,,,,,,,
,MBA 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BHMCT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.Pharma 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,
